Movie ID,Animation,Drama,Biography,War,Documentary,News,Average Rating,actors
tt11750282,no,yes,no,no,no,no,6,"Cristina Perales, Belén Fabra, Ana Fernández"
tt11762434,no,no,no,no,no,no,2,"Trevor Gretzky, Brandon Thomas Lee, C.J. Perry"
tt11804152,no,no,no,no,no,no,5,"Jana Karaivanova, Dessy Slavova"
tt1181840,yes,yes,no,no,no,no,6,"Mathias Malzieu, Marie Vincent, Gregory Monro, Olivia Ruiz, Grand Corps Malade, Emily Loizeau"
tt11832046,yes,no,no,no,no,no,6,"Marsai Martin, Callum Shoniker"
tt11847410,no,yes,no,no,no,no,7,"Peymon Maskan, Megan Park"
tt11881160,no,yes,no,no,no,no,5,David Smith
tt11988512,no,yes,no,no,no,no,5,Dilan Çiçek Deniz
tt1204977,no,no,no,no,no,no,4,"Robyn Lively, Claudia Katz Minnick, Sofie Dejus, Shelley Hennig, Daren Kagasoff, Kathleen Forté, Ana Coto, Bianca A. Santos"
tt1206885,no,no,no,no,no,no,6,"Adriana Barraza, Louis Mandylor, Úrsula Murayama, Sergio Peris-Mencheta, Elijah Long, Damaine Radcliff, Ivana Vladic, Javier Valdés, Sheila Shah, Aaron Cohen, Morad Azzaaoui, Yvette Monreal, Dimitri 'Vegas' Thivaios"
tt12108622,no,no,no,no,no,no,5,Matthew Butler-Hart
tt12137964,no,no,no,no,no,no,6,"Yannick Bisson, Jesse James Marshall, Kyle Sipkens"
tt1226766,no,yes,no,no,no,no,6,Clare Foley
tt1230213,no,no,no,no,no,no,5,"Bianca Malinowski, Tina Ivlev"
tt12335692,no,no,no,no,no,no,5,"Daniel Stisen, Madeleine Vall, Kenneth Wolf Andersen Haugen"
tt12358104,no,yes,no,no,no,no,4,Kandido Uranga
tt12383460,no,no,no,no,no,no,5,"Theresa Wayman, Jenny Lee Lindberg, Matt Angel"
tt12393526,no,yes,no,no,no,no,6,"Rahul Bose, Avinash Tiwary, Aswathi Naduthodi, Varun Buddhadev, Tripti Dimri"
tt1255919,no,no,no,no,no,no,3,"Bruce Buffer, Jana Pérez, Adam Scherr, Scarlet Grace, Billy Jenkins, Jack Riley"
tt12607910,no,yes,no,no,no,no,5,"Tina Knowles-Lawson, Tiwa Savage, Blue Ivy Carter, Raye, Adut Akech, Burna Boy"
tt1267297,no,no,no,no,no,no,6,"Erika Marozsán, Athina Papadimitriu, Judit Viktor, Gábor Csépai, Caroline Boulton, Ingrid Bolsø Berdal, Anna Zsíros, Reece Ritchie, Tonia Sotiropoulou, Anna Trokán, Nóra Hörich, Istvan Szori, Irina Shayk, Anna Skidanova, Barbara Palvin, Karolina Szymczak, Tímea Vajna"
tt12731980,no,no,no,no,no,no,7,"Michael Hagerty, Scott Haze, Gavin Lewis"
tt1274586,no,yes,no,no,no,no,4,"Ilinca Goia, Alexander Karim, Mic Collis, Elias Ferkin, George Remes, Seth Kozak"
tt12789558,no,yes,yes,no,no,no,7,"Ciarán Hinds, Joyce Branagh, James O'Donnell, Josie Walker, Haris Zambarloukos, Olivia Flanagan, Caitriona Balfe, Colin Morgan"
tt12801262,yes,no,no,no,no,no,7,"Marco Barricelli, Emma Berman, Giacomo Gianniotti, Jack Dylan Grazer, Saverio Raimondo"
tt1285009,no,no,no,no,no,no,5,"Mark Kassen, Damian Maffei, Kim Wilde, Marilyn Martin, Leah Roberts"
